,Np,Nt,Kp,Kt,lp,Rg,E2E,zd,lb,sd_lp,sd_Rg,sd_zd
155,32.0,64.0,1.0,0.25,1.5006547623973021,4.113028823367826,11.095024621228081,14.598390909090908,0.9567360078760405,0.1209898716139328,0.40418331628925624,1.8056099243768755
156,32.0,64.0,1.0,1.0,1.245161413710598,3.4745092126348465,8.598895657421389,10.992972727272727,0.9530013084868527,0.05081427111786704,0.18955595130507347,3.005450182309982
157,32.0,64.0,1.0,4.0,1.215719793726984,3.5238377702143024,8.38924819112741,24.38638945454545,0.9523397449299861,0.06734596416141739,0.5549401072455702,4.346760154482214
158,32.0,64.0,1.0,16.0,1.1844490279511202,3.9267691482660876,11.107903928751243,36.58335909090909,0.9530873042662344,0.12490945257359841,0.36524250457753477,7.300190970699396
159,32.0,64.0,1.0,64.0,1.0714656590430893,3.451486435234199,8.894848930244807,50.16835454545455,0.9554604831862743,0.06033290068267088,0.20245940904893428,2.661599667446641
160,32.0,64.0,4.0,0.25,2.146650976633965,4.315237190116945,11.22510745943224,14.358945454545454,0.9503325499973242,0.05406157966741873,0.26670936052665856,1.9125385145800509
161,32.0,64.0,4.0,1.0,1.6917404330589478,3.655871893820942,8.505419989715673,12.769745454545456,0.9509056981216999,0.04842202590915892,0.3947592630475629,2.9188095142816635
162,32.0,64.0,4.0,4.0,1.78588389785729,4.003898086852545,9.820071038534595,24.850075454545458,0.9552436064789798,0.08187735288224277,0.25016690405748926,2.5993080499113375
163,32.0,64.0,4.0,16.0,1.6326689129329728,3.759692248357885,9.410833390643166,41.48985,0.9530439554279662,0.04555104111998626,0.41436805486263295,5.408030082672516
164,32.0,64.0,4.0,64.0,1.9970186248434174,4.040028266422277,9.862088897368176,45.10585363636364,0.9564134733944217,0.05465827588074965,0.7442870002483059,3.7982217895562003
165,32.0,64.0,16.0,0.25,8.186049304664486,6.520773297220526,18.03967066888296,12.235663636363636,0.9533016288513808,0.09129469296324866,0.7754767412891805,2.8804089776762063
166,32.0,64.0,16.0,1.0,9.384781566602152,6.790290745760916,19.449500065291605,13.265372727272728,0.9510306812020947,0.2734509711657852,0.12406501016807749,2.381441349683731
167,32.0,64.0,16.0,4.0,8.94564797782364,6.657623299626042,18.97891056185838,21.378643636363638,0.952593097317466,0.25071961803743775,0.6882225809392626,4.755696293983138
168,32.0,64.0,16.0,16.0,4.942682124791212,5.441492365621796,14.197954086634986,37.506093,0.9515257425274561,0.14897869874864353,0.7888735474795883,4.434996269688602
169,32.0,64.0,16.0,64.0,5.443041438863257,5.605505998191603,15.603479190073289,51.674445454545456,0.951543959292004,0.06315280092599014,0.5063415484803125,3.2937114543167745
170,32.0,64.0,64.0,0.25,27.474536758297656,7.897964627901095,24.872462154605934,14.333063636363637,0.951474418287084,0.2689637985466719,0.2367542449009604,1.715652939724925
171,32.0,64.0,64.0,1.0,33.46917538155982,8.093889828518355,25.773183658870497,15.923381818181817,0.9541758732688631,0.24682679630524645,0.07902108817696257,3.910009729078382
172,32.0,64.0,64.0,4.0,32.69321104067065,7.9949982452394375,25.675078896940253,24.028977272727275,0.9522746430198631,0.3163576679244352,0.09575016458789681,2.5921173809178084
173,32.0,64.0,64.0,16.0,25.38990948059189,7.875549917250196,24.45958973320695,37.18659909090909,0.9520498196601804,0.4735251603031737,0.1808621765087346,2.8531447631324425
174,32.0,64.0,64.0,64.0,15.253153135552072,7.242130797203705,22.07448577766375,51.64766090909091,0.9522732416167923,0.37762441409236014,0.3688171823486357,5.502342101506256
175,32.0,128.0,0.25,0.25,1.1679415942396205,3.4695804500779803,7.749124282128476,46.22244545454546,0.956034500826577,0.09172581156160707,0.317963291678198,4.470841046230694
176,32.0,128.0,0.25,1.0,1.2012371709768874,3.745917247121076,9.911243261087636,46.85581636363636,0.9534657369398707,0.10694288918915237,0.6720453859621878,6.560534372569014
